id,message,num_users,category
84,Edit.Redo,73,Edit
85,Tools.NavHistoryItemSingleClick1,22,Tools.Prodet
86,Tools.NavHistoryItemSingleClick3,16,Tools.Prodet
87,Edit.FindNextSelected,25,Search
88,Tools.NavHistoryItemSingleClick2,20,Tools.Prodet
89,ReSharper_AltEnter,18,Tools
90,Edit.NavigateTo,32,Navigation.Structured
91,ReSharper.ReSharper_FindUsages,30,Tools
92,Debug.SetNextStatement,42,Debug
93,ProjectandSolutionContextMenus.Project.OpenFolderinFileExplorer,72,Analyze
94,Edit.GoToNextLocation,33,Search
95,View.Application,103,View
96,View.Code Coverage Results,17,NULL
97,Tools.NavHistoryItemSingleClick4,14,Tools.Prodet
98,Debug.StartWithoutDebugging,37,Debug
99,Edit.UncommentSelection,107,Edit
100,View.Diff,10,NULL
101,Build.CleanSolution,88,Build
102,TestExplorer.RunSelectedTests,36,Test
103,View.Find Results 2,10,NULL
104,View.Immediate Window,67,NULL
105,ReSharper.ReSharper_GotoType,20,Tools
106,View.Debug,72,Debug
107,TestExplorer.DebugSelectedTests,35,Test
108,View.Start Page,96,NULL
109,Edit.LineCut,38,Edit
110,ReSharper.ReSharper_Rename,20,Tools
111,Tools.NavHistoryItemSingleClick5,9,Tools.Prodet
112,Edit.DocumentEnd,49,Navigation.Unstructured
113,View.Navigation Context Window,65,NULL
114,View.SandoSearch,74,Tools.Prodet
115,View.Toolbox,88,Actions
116,TestExplorer.OpenTest,40,Test
117,TestExplorer.RunAllTests,38,Test
118,View.Source Not Available,59,NULL
119,Window.ActivateDocumentWindow,59,Actions
120,View.Object Browser,77,Navigation.Unstructured
121,Edit.RemoveUnusedUsings,8,Edit
122,Tools.NavHistoryItemSingleClick6,7,Tools.Prodet
123,ClassViewContextMenus.ClassViewProject.Debug.Startnewinstance,34,View
124,TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageExcludeChanges,43,CMO
125,View.Build Explorer,40,NULL
126,View.Resolve Conflicts,55,NULL
127,TeamFoundationContextMenus.PendingChangesPageChangestoExclude.TfsContextPendingChangesPageIncludeChanges,34,CMO
128,View.ShowSmartTag,38,Actions
129,TestExplorer.DebugAllTestsInContext,30,Test
130,File.TfsCheckOut,40,CMO
131,ClassViewContextMenus.ClassViewItem.TfsContextCompare,46,View
132,View.Locals,65,Debug
133,Debug.QuickWatch,54,Debug
134,ClassViewContextMenus.ClassViewProject.TfsContextCheckIn,47,View
135,View.Build,77,Build
136,View.SolutionExplorer,67,Actions
137,View.PropertiesWindow,79,Actions
138,File.TfsCheckIn,42,CMO
139,View.StartPage,33,Actions
140,Edit.Replace,47,Search
141,View.Compile,25,NULL
142,Edit.FindPrevious,22,Search
143,TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageUndo,42,CMO
144,Build.Compile,12,Build
145,File.ViewinBrowser,13,CMO
146,File.TfsCompare,39,CMO
147,Debug.Restart,68,Debug
148,File.CloseSolution,79,Actions
149,Build.Cancel,58,Build
150,View.Build Events,60,Build
151,File.OpenProject,76,Actions
152,Edit.OpenFile,25,Navigation.Unstructured
153,Debug.AttachtoProcess,47,Debug
154,View.Threads,25,NULL
155,ReSharper.ReSharper_GotoImplementation,22,Tools
156,Edit.CycleClipboardRing,18,Edit
157,View.Server Explorer,72,NULL
158,Edit.MoveSelectedLinesUp,10,NULL
159,Debug.AddWatch,66,Debug
160,Edit.GoToDeclaration,25,Navigation.Structured
161,Edit.CollapsetoDefinitions,29,Navigation.Unstructured
162,View.Call Hierarchy,44,Navigation.Structured
163,TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageCompareWithPreviousVersion,32,CMO
164,Edit.Addappropriateusingstatement,21,Edit
165,ClassViewContextMenus.ClassViewProject.TfsContextGetLatestVersion,50,View
166,Build.BuildSelection,34,Build
167,Edit.OvertypeMode,80,Edit
168,Edit.LineDownExtendColumn,13,Navigation.Read
169,Edit.ParameterInfo,19,Edit
170,Debug.EvaluateStatement,35,Debug
171,Edit.GoTo,58,Navigation.Structured
172,Window.CloseAllDocuments,59,Actions
173,View.Klocwork Issues,7,Tools
174,View.ErrorList,32,Actions
175,View.EditLabel,44,Actions
176,Tools.ManageNuGetPackagesforSolution,34,Actions
177,Edit.PageDownExtend,35,Navigation.Unstructured
178,Tools.NavHistoryItemDoubleClick1,12,NULL
179,File.OpenContainingFolder,56,Actions
180,Debug.CallStack,33,Debug
181,View.Source Not Found,37,NULL
182,View.PropertyPages,34,Actions
183,Debug.Print,16,Debug
184,View.Breakpoints,50,Debug
185,File.OpenFile,61,Actions
186,File.Rename,68,Actions
187,Tools.ExtensionsandUpdates,100,Actions
188,Tools.ExtensionManager,100,Actions
189,View.Performance Explorer,30,NULL
190,CodeMaid.CleanupCode,9,NULL
191,View.ViewDesigner,57,Actions
192,View.TfsPendingChanges,11,Actions
193,View.Disassembly,24,Debug
194,Edit.FormatSelection,29,Edit
195,Edit.GotoBrace,20,Navigation.Unstructured
196,EditorContextMenus.CodeWindow.Rename,11,Refactoring
197,Debug.Exceptions,53,Debug
